"",N,absolute.x,absolute.Freq,relative.x,relative.Freq
sex.1,32110397,1,14007039,1,0.43621506766173
sex.2,32110397,2,18103358,2,0.563784932338271
race.1,32110397,0,409091,0,0.0127401414563638
race.2,32110397,1,25175889,1,0.784041661023375
race.3,32110397,2,3744203,2,0.116604070637931
race.4,32110397,3,848562,3,0.0264263939184558
race.5,32110397,4,992824,4,0.0309190820655378
race.6,32110397,5,899700,5,0.028018962207163
race.7,32110397,6,40128,6,0.00124968869117377
dual.1,32110397,0,27559016,0,0.858258339191509
dual.2,32110397,1,4551381,1,0.141741660808491
entry_age_break.y.1,32110397,1,17039140,1,0.53064245826671
entry_age_break.y.2,32110397,2,2003782,2,0.0624029033337707
entry_age_break.y.3,32110397,3,1834353,3,0.0571264503518907
entry_age_break.y.4,32110397,4,1714152,4,0.0533830833670478
entry_age_break.y.5,32110397,5,1608633,5,0.0500969514640383
entry_age_break.y.6,32110397,6,1511764,6,0.0470802027144043
entry_age_break.y.7,32110397,7,1377060,7,0.0428851751661619
entry_age_break.y.8,32110397,8,1168698,8,0.0363962488536034
entry_age_break.y.9,32110397,9,980615,9,0.0305388625372648
entry_age_break.y.10,32110397,10,796763,10,0.0248132403968721
entry_age_break.y.11,32110397,11,644367,11,0.0200672386579338
entry_age_break.y.12,32110397,12,482682,12,0.0150319536690873
entry_age_break.y.13,32110397,13,346362,13,0.0107865997421334
entry_age_break.y.14,32110397,14,237448,14,0.00739473884424413
entry_age_break.y.15,32110397,15,146566,15,0.00456444060781933
entry_age_break.y.16,32110397,16,85010,16,0.00264742911774028
entry_age_break.y.17,32110397,17,131134,17,0.00408384860517296
entry_age_break.y.18,32110397,18,1104,18,3.43813874365988e-05
entry_age_break.y.19,32110397,19,450,19,1.40141524877441e-05
entry_age_break.y.20,32110397,20,155,20,4.82709696800074e-06
entry_age_break.y.21,32110397,21,59,21,1.83741110394867e-06
entry_age_break.y.22,32110397,22,29,22,9.03134271432396e-07
entry_age_break.y.23,32110397,23,13,23,4.04853294090385e-07
entry_age_break.y.24,32110397,24,5,24,1.55712805419379e-07
entry_age_break.y.25,32110397,25,53,25,1.65055573744541e-06
region.1,32110397,Midwest,6869910,Midwest,0.213946591815729
region.2,32110397,Northeast,7864622,Northeast,0.244924471036593
region.3,32110397,South,10511747,South,0.327362723045747
region.4,32110397,West,6864118,West,0.213766214101931
