"",N,absolute.x,absolute.Freq,relative.x,relative.Freq
sex.1,61673367,1,27654735,1,0.448406440984485
sex.2,61673367,2,34018632,2,0.551593559015515
race.1,61673367,0,669414,0,0.0108541828111963
race.2,61673367,1,52053754,1,0.844023223184815
race.3,61673367,2,5422604,2,0.0879245655584201
race.4,61673367,3,1090312,3,0.0176788142602949
race.5,61673367,4,1115660,4,0.0180898182516936
race.6,61673367,5,1146329,5,0.0185870993552209
race.7,61673367,6,175294,6,0.00284229657835934
dual.1,61673367,0,53998297,0,0.875552927084393
dual.2,61673367,1,7675070,1,0.124447072915607
entry_age_break.y.1,61673367,1,34005806,1,0.551385592422739
entry_age_break.y.2,61673367,2,3742535,2,0.060683163285053
entry_age_break.y.3,61673367,3,3398127,3,0.0550987754568354
entry_age_break.y.4,61673367,4,3165804,4,0.0513317847556466
entry_age_break.y.5,61673367,5,2929955,5,0.0475076218880672
entry_age_break.y.6,61673367,6,2728225,6,0.0442366799918675
entry_age_break.y.7,61673367,7,2486668,7,0.0403199650182874
entry_age_break.y.8,61673367,8,2116644,8,0.0343202277248784
entry_age_break.y.9,61673367,9,1788771,9,0.0290039459009916
entry_age_break.y.10,61673367,10,1467360,10,0.0237924418817607
entry_age_break.y.11,61673367,11,1189732,11,0.0192908553217145
entry_age_break.y.12,61673367,12,900945,12,0.0146083316644606
entry_age_break.y.13,61673367,13,646970,13,0.0104902655955204
entry_age_break.y.14,61673367,14,442944,14,0.00718209531190344
entry_age_break.y.15,61673367,15,273936,15,0.00444172279421683
entry_age_break.y.16,61673367,16,158055,16,0.00256277559809569
entry_age_break.y.17,61673367,17,228253,17,0.00370099787157721
entry_age_break.y.18,61673367,18,1568,18,2.54242645776093e-05
entry_age_break.y.19,61673367,19,634,19,1.02799641213038e-05
entry_age_break.y.20,61673367,20,208,20,3.37260652560124e-06
entry_age_break.y.21,61673367,21,86,21,1.39444308270051e-06
entry_age_break.y.22,61673367,22,40,22,6.48578178000238e-07
entry_age_break.y.23,61673367,23,17,23,2.75645725650101e-07
entry_age_break.y.24,61673367,24,9,24,1.45930090050054e-07
entry_age_break.y.25,61673367,25,75,25,1.21608408375045e-06
region.1,61673367,Midwest,14659632,Midwest,0.23769793531785
region.2,61673367,Northeast,12355117,Northeast,0.200331481820994
region.3,61673367,South,23489372,South,0.380867352353245
region.4,61673367,West,11169246,West,0.181103230507911
