"",N,absolute.x,absolute.Freq,relative.x,relative.Freq
sex.1,32241079,1,14043833,1,0.435588182393027
sex.2,32241079,2,18197246,2,0.564411817606973
race.1,32241079,0,409345,0,0.012696380291739
race.2,32241079,1,25289478,1,0.784386837673764
race.3,32241079,2,3757988,2,0.116559002259199
race.4,32241079,3,848993,3,0.0263326484823911
race.5,32241079,4,993254,4,0.0308070955069463
race.6,32241079,5,901475,5,0.0279604476016451
race.7,32241079,6,40546,6,0.00125758818431604
dual.1,32241079,0,27646825,0,0.857503094111708
dual.2,32241079,1,4594254,1,0.142496905888292
entry_age_break.y.1,32241079,1,17056969,1,0.52904460796737
entry_age_break.y.2,32241079,2,2010708,2,0.0623647862405598
entry_age_break.y.3,32241079,3,1843144,3,0.0571675656388547
entry_age_break.y.4,32241079,4,1724705,4,0.0534940223309524
entry_age_break.y.5,32241079,5,1620822,5,0.0502719527469909
entry_age_break.y.6,32241079,6,1525093,6,0.0473027903315519
entry_age_break.y.7,32241079,7,1390371,7,0.0431242080948966
entry_age_break.y.8,32241079,8,1180707,8,0.0366211999294441
entry_age_break.y.9,32241079,9,990883,9,0.0307335557845319
entry_age_break.y.10,32241079,10,805379,10,0.0249799021924794
entry_age_break.y.11,32241079,11,650904,11,0.0201886543561399
entry_age_break.y.12,32241079,12,487133,12,0.0151090787004988
entry_age_break.y.13,32241079,13,349200,13,0.0108309030228176
entry_age_break.y.14,32241079,14,239075,14,0.00741522949650662
entry_age_break.y.15,32241079,15,147375,15,0.00457103188140819
entry_age_break.y.16,32241079,16,85377,16,0.00264808134988286
entry_age_break.y.17,32241079,17,131361,17,0.00407433634587726
entry_age_break.y.18,32241079,18,1105,18,3.42730465069113e-05
entry_age_break.y.19,32241079,19,452,19,1.40193819195691e-05
entry_age_break.y.20,32241079,20,156,20,4.83854774215218e-06
entry_age_break.y.21,32241079,21,60,21,1.86097990082776e-06
entry_age_break.y.22,32241079,22,29,22,8.99473618733418e-07
entry_age_break.y.23,32241079,23,13,23,4.03212311846015e-07
entry_age_break.y.24,32241079,24,5,24,1.55081658402313e-07
entry_age_break.y.25,32241079,25,53,25,1.64386557906452e-06
region.1,32241079,Midwest,6897199,Midwest,0.213925811850156
region.2,32241079,Northeast,7886655,Northeast,0.244615107329379
region.3,32241079,South,10572614,South,0.327923702553503
region.4,32241079,West,6884611,West,0.213535378266962
