"","park","ndvi_summer","occur_bs_1000m","poverty","medianhousevalue","medhouseholdincome","pct_owner_occ","education","pct_blk","hispanic","popdensity","smoke_rate","summer_tmmx","summer_sph","summer_pr","occur_bs","pm25","no2"
"park",1,-0.225595011447456,0.226324704788216,-0.100456064514502,0.395699015157247,0.206298861745281,-0.146051715502104,-0.204337122945739,0.00156989684297495,0.194975579556642,0.308451548229894,-0.0490737190933408,-0.239111435937429,-0.294409482490934,-0.12260123094456,0.148556925519819,-0.183187407196484,0.270930803184878
"ndvi_summer",-0.225595011447456,1,-0.000220261528828323,-0.172433356463514,-0.237002692345538,0.0174813759526294,0.472243707715517,-0.0622723568384276,-0.225709497247656,-0.629745679572411,-0.566535959319152,0.304729999365297,-0.2566454903803,0.190573020700009,0.366750724638643,0.1050981992031,-0.0498732701788676,-0.51161434845474
"occur_bs_1000m",0.226324704788216,-0.000220261528828323,1,-0.0414410075137643,0.107967013718922,0.060217647528639,-0.0158319801440575,-0.100601077695326,0.0678201426052655,-0.0407697360587412,0.0686110409503891,0.149775242241132,-0.117110207923738,0.135523960267019,0.184054276452996,0.830007479731609,-0.115950332267083,-0.0398991595765313
"poverty",-0.100456064514502,-0.172433356463514,-0.0414410075137643,1,-0.366542637713602,-0.60835408850124,-0.390432618470687,0.587835813834626,0.319480214318589,0.139148063877956,0.0455944126858156,-0.0489330339991777,0.178032074791087,0.167184163555232,0.0333669182267467,-0.0706225310896353,0.114262732139893,-0.0164274078544842
"medianhousevalue",0.395699015157247,-0.237002692345538,0.107967013718922,-0.366542637713602,1,0.749241938690729,-0.0806192355144386,-0.534234324717929,-0.0672401585679284,0.313384947252906,0.462378931454949,-0.265334054078684,-0.256615399714003,-0.346751749517509,-0.205769194393303,0.00935001392980019,-0.189644426151235,0.322899013153798
"medhouseholdincome",0.206298861745281,0.0174813759526294,0.060217647528639,-0.60835408850124,0.749241938690729,1,0.309064367698739,-0.627053220399221,-0.187822913238861,0.0845743566561984,0.214099819589522,-0.180834221038414,-0.179891312330075,-0.200740914107183,-0.0836149973157324,0.0466336227252845,-0.137136582750503,0.173931568855544
"pct_owner_occ",-0.146051715502104,0.472243707715517,-0.0158319801440575,-0.390432618470687,-0.0806192355144386,0.309064367698739,1,-0.164414953146576,-0.434980757143703,-0.472787076662234,-0.55332522217367,0.226237392005351,-0.0527615000792421,0.0750151115037617,0.154430558412506,0.0931327209225378,-0.085549398729908,-0.347329615187065
"education",-0.204337122945739,-0.0622723568384276,-0.100601077695326,0.587835813834626,-0.534234324717929,-0.627053220399221,-0.164414953146576,1,0.221263590289773,0.0281055366303456,-0.0738212071756595,0.0220070804576705,0.141815243178106,0.206486437484376,0.0679216501970131,-0.100658706917782,0.366243684555125,0.0380330097747202
"pct_blk",0.00156989684297495,-0.225709497247656,0.0678201426052655,0.319480214318589,-0.0672401585679284,-0.187822913238861,-0.434980757143703,0.221263590289773,1,0.251986695348599,0.410655080939266,-0.157700864152165,0.307955316571629,0.393620085038532,0.195151807043381,0.0220833215277965,0.260889842480081,0.240714724789497
"hispanic",0.194975579556642,-0.629745679572411,-0.0407697360587412,0.139148063877956,0.313384947252906,0.0845743566561984,-0.472787076662234,0.0281055366303456,0.251986695348599,1,0.504609733581439,-0.350996476261133,0.239654713713083,-0.128971578544,-0.273625102197406,-0.0997329368897694,-0.0788974007429431,0.3666671597124
"popdensity",0.308451548229894,-0.566535959319152,0.0686110409503891,0.0455944126858156,0.462378931454949,0.214099819589522,-0.55332522217367,-0.0738212071756595,0.410655080939266,0.504609733581439,1,-0.288048894971022,-0.0585433561111691,-0.0629841884802364,-0.0619990841518233,-0.0957824041504608,0.214878931244666,0.722592437833607
"smoke_rate",-0.0490737190933408,0.304729999365297,0.149775242241132,-0.0489330339991777,-0.265334054078684,-0.180834221038414,0.226237392005351,0.0220070804576705,-0.157700864152165,-0.350996476261133,-0.288048894971022,1,-0.136693378669279,0.0584581061050934,0.209420381958672,0.168383050828931,-0.09227499676486,-0.242419251779116
"summer_tmmx",-0.239111435937429,-0.2566454903803,-0.117110207923738,0.178032074791087,-0.256615399714003,-0.179891312330075,-0.0527615000792421,0.141815243178106,0.307955316571629,0.239654713713083,-0.0585433561111691,-0.136693378669279,1,0.467454934107517,-0.0174456201085265,-0.033521220526156,0.0783104191806231,-0.100111071910795
"summer_sph",-0.294409482490934,0.190573020700009,0.135523960267019,0.167184163555232,-0.346751749517509,-0.200740914107183,0.0750151115037617,0.206486437484376,0.393620085038532,-0.128971578544,-0.0629841884802364,0.0584581061050934,0.467454934107517,1,0.620085775656817,0.170011211699827,0.264937062664774,-0.209522424855873
"summer_pr",-0.12260123094456,0.366750724638643,0.184054276452996,0.0333669182267467,-0.205769194393303,-0.0836149973157324,0.154430558412506,0.0679216501970131,0.195151807043381,-0.273625102197406,-0.0619990841518233,0.209420381958672,-0.0174456201085265,0.620085775656817,1,0.204930052595049,0.0722767221683623,-0.13630232696358
"occur_bs",0.148556925519819,0.1050981992031,0.830007479731609,-0.0706225310896353,0.00935001392980019,0.0466336227252845,0.0931327209225378,-0.100658706917782,0.0220833215277965,-0.0997329368897694,-0.0957824041504608,0.168383050828931,-0.033521220526156,0.170011211699827,0.204930052595049,1,-0.138637228236391,-0.162259266445779
"pm25",-0.183187407196484,-0.0498732701788676,-0.115950332267083,0.114262732139893,-0.189644426151235,-0.137136582750503,-0.085549398729908,0.366243684555125,0.260889842480081,-0.0788974007429431,0.214878931244666,-0.09227499676486,0.0783104191806231,0.264937062664774,0.0722767221683623,-0.138637228236391,1,0.379534335334295
"no2",0.270930803184878,-0.51161434845474,-0.0398991595765313,-0.0164274078544842,0.322899013153798,0.173931568855544,-0.347329615187065,0.0380330097747202,0.240714724789497,0.3666671597124,0.722592437833607,-0.242419251779116,-0.100111071910795,-0.209522424855873,-0.13630232696358,-0.162259266445779,0.379534335334295,1
