"","park","ndvi_summer","occur_bs_1000m","poverty","medianhousevalue","medhouseholdincome","pct_owner_occ","education","pct_blk","hispanic","popdensity","smoke_rate","summer_tmmx","summer_sph","summer_pr","occur_bs","pm25","no2"
"park",1,0.0283780319758617,0.237519870693164,-0.0373863852322676,0.314712257261976,0.210699009806385,-0.0291176029183637,-0.102158471198387,-0.0789593774313123,-0.0418668576447631,0.133277327403132,-0.0208438120225295,-0.280174985216404,-0.218809773673691,-0.0641806378435772,0.175604801559424,-0.086560843313072,0.155113170107345
"ndvi_summer",0.0283780319758617,1,0.0575531036385295,-0.398287541974263,-0.102104833198858,0.269440141045052,0.448679144780953,-0.331429712022729,0.00607825676778228,-0.518745188587464,-0.534933656160651,0.238711425385744,-0.138096069308469,0.264480871827638,0.388382141459172,0.157184494026712,-0.0856500296015784,-0.316175940086992
"occur_bs_1000m",0.237519870693164,0.0575531036385295,1,-0.00835515432187711,0.0436212132390043,0.0180666189942408,0.00585910441915048,-0.0529782390369705,-0.0131104891112768,-0.127888238000155,-0.099120808440691,0.201912845214442,-0.153345243152235,0.176953560080213,0.267320786508852,0.78814716317465,-0.189363000910214,-0.187832063314682
"poverty",-0.0373863852322676,-0.398287541974263,-0.00835515432187711,1,-0.272734937355773,-0.676724096026935,-0.651680992251535,0.659759313014794,0.4182904496088,0.341290421079369,0.422688910807931,-0.0827692710366866,0.0705711195227536,0.051390585246186,0.0157937502683564,-0.0937519481896063,0.0695840312485561,0.124344707954028
"medianhousevalue",0.314712257261976,-0.102104833198858,0.0436212132390043,-0.272734937355773,1,0.71121082471151,0.0794436511050534,-0.415745669529801,-0.371732606880784,0.107058685874336,0.231593562332583,-0.360485122459425,-0.307352527541309,-0.338158509440183,-0.259611972156431,-0.0421800300140761,-0.195738776749638,0.138592576814967
"medhouseholdincome",0.210699009806385,0.269440141045052,0.0180666189942408,-0.676724096026935,0.71121082471151,1,0.593620506017371,-0.655367268092734,-0.43794363708217,-0.159692120519187,-0.184699803096168,-0.181619421431344,-0.162310036613346,-0.157911129488476,-0.10408149909209,0.0536981153937251,-0.183338202589293,-0.0460861625199095
"pct_owner_occ",-0.0291176029183637,0.448679144780953,0.00585910441915048,-0.651680992251535,0.0794436511050534,0.593620506017371,1,-0.410864925472775,-0.364194609508855,-0.333022682705772,-0.521755779476058,0.159067599378738,0.0329923944006069,0.0807071947794128,0.124511706427255,0.126127559712782,-0.0985620626126982,-0.166551862355795
"education",-0.102158471198387,-0.331429712022729,-0.0529782390369705,0.659759313014794,-0.415745669529801,-0.655367268092734,-0.410864925472775,1,0.346805942141496,0.346878757396774,0.310196895450648,-0.0134810918471628,0.0162618832658437,0.061931267859955,0.0250288158358368,-0.104012376468588,0.331347445818324,0.300220174903642
"pct_blk",-0.0789593774313123,0.00607825676778228,-0.0131104891112768,0.4182904496088,-0.371732606880784,-0.43794363708217,-0.364194609508855,0.346805942141496,1,0.0162470831021934,0.135144682097248,0.0273095485106765,0.154219556580046,0.326058610128185,0.254632798133637,-0.0282640893394222,0.129346932394666,0.0114873107003296
"hispanic",-0.0418668576447631,-0.518745188587464,-0.127888238000155,0.341290421079369,0.107058685874336,-0.159692120519187,-0.333022682705772,0.346878757396774,0.0162470831021934,1,0.362335978368263,-0.397572175713905,0.215748098015706,-0.122649150569112,-0.252056900571601,-0.137767367781818,-0.0876587246530513,0.114271244755347
"popdensity",0.133277327403132,-0.534933656160651,-0.099120808440691,0.422688910807931,0.231593562332583,-0.184699803096168,-0.521755779476058,0.310196895450648,0.135144682097248,0.362335978368263,1,-0.235508825669644,-0.179983703959242,-0.180599453656557,-0.138683750599051,-0.264540605825068,0.103755717742136,0.442122406950183
"smoke_rate",-0.0208438120225295,0.238711425385744,0.201912845214442,-0.0827692710366866,-0.360485122459425,-0.181619421431344,0.159067599378738,-0.0134810918471628,0.0273095485106765,-0.397572175713905,-0.235508825669644,1,-0.100963487492366,0.086595542523482,0.275736534099578,0.195501490172524,-0.0435018657751418,-0.0869727485356214
"summer_tmmx",-0.280174985216404,-0.138096069308469,-0.153345243152235,0.0705711195227536,-0.307352527541309,-0.162310036613346,0.0329923944006069,0.0162618832658437,0.154219556580046,0.215748098015706,-0.179983703959242,-0.100963487492366,1,0.40040689757351,0.0851087423730867,-0.0370237133390878,-0.06160058474792,-0.195346864238137
"summer_sph",-0.218809773673691,0.264480871827638,0.176953560080213,0.051390585246186,-0.338158509440183,-0.157911129488476,0.0807071947794128,0.061931267859955,0.326058610128185,-0.122649150569112,-0.180599453656557,0.086595542523482,0.40040689757351,1,0.680285512473469,0.206099795204017,0.0545583203133505,-0.302429098425774
"summer_pr",-0.0641806378435772,0.388382141459172,0.267320786508852,0.0157937502683564,-0.259611972156431,-0.10408149909209,0.124511706427255,0.0250288158358368,0.254632798133637,-0.252056900571601,-0.138683750599051,0.275736534099578,0.0851087423730867,0.680285512473469,1,0.281776877814196,-0.0805716170009205,-0.189020321075114
"occur_bs",0.175604801559424,0.157184494026712,0.78814716317465,-0.0937519481896063,-0.0421800300140761,0.0536981153937251,0.126127559712782,-0.104012376468588,-0.0282640893394222,-0.137767367781818,-0.264540605825068,0.195501490172524,-0.0370237133390878,0.206099795204017,0.281776877814196,1,-0.198821118054132,-0.270097103549282
"pm25",-0.086560843313072,-0.0856500296015784,-0.189363000910214,0.0695840312485561,-0.195738776749638,-0.183338202589293,-0.0985620626126982,0.331347445818324,0.129346932394666,-0.0876587246530513,0.103755717742136,-0.0435018657751418,-0.06160058474792,0.0545583203133505,-0.0805716170009205,-0.198821118054132,1,0.513076927971455
"no2",0.155113170107345,-0.316175940086992,-0.187832063314682,0.124344707954028,0.138592576814967,-0.0460861625199095,-0.166551862355795,0.300220174903642,0.0114873107003296,0.114271244755347,0.442122406950183,-0.0869727485356214,-0.195346864238137,-0.302429098425774,-0.189020321075114,-0.270097103549282,0.513076927971455,1
