"","X.x","Beta","model","out","exposure","pop","X.y","se","iqr","Lower","Upper","beta_exp","Lower_exp","Upper_exp","beta_ci"
"1","park",-0.116286550744736,"model 1","cvd","park","full","se_park",0.0116125707005568,0.159118870754791,-0.139046771085752,-0.0935263304037196,0.981666751999113,0.978117996705193,0.985228382696797,"0.98 (0.98, 0.99)"
"2","ndvi_summer",0.0264098867609807,"model 1","cvd","ndvi_summer","full","se_ndvi",0.0102725805677319,0.274767457777641,0.00627599881994016,0.0465437747020212,1.00728297020537,1.00172592794287,1.0128708399805,"1.01 (1, 1.01)"
"3","occur_bs_1000m",-0.110158239389876,"model 1","cvd","occur_bs_1000m","full","se_bs",0.0161560189591891,0.0322254268358965,-0.141823454683433,-0.0784930240963191,0.99645639714877,0.995440106663638,0.997473725211495,"1 (1, 1)"
"4","park",-0.0479022347326052,"model 2","cvd","park","full","se_park",0.00866179555716577,0.159118870754791,-0.0648790420660992,-0.0309254273991112,0.992406825420409,0.989729624312285,0.995091268310123,"0.99 (0.99, 1)"
"5","ndvi_summer",-0.169873608236445,"model 2","cvd","ndvi_summer","full","se_ndvi",0.0102940021536587,0.274767457777641,-0.190049481714394,-0.149697734758496,0.954396820631461,0.949120594652342,0.959702377509878,"0.95 (0.95, 0.96)"
"6","occur_bs_1000m",-0.00333279768391372,"model 2","cvd","occur_bs_1000m","full","se_bs",0.0143718927394357,0.0322254268358965,-0.0315011898428804,0.0248355944750529,0.999892604939341,0.998985375791055,1.0008006579883,"1 (1, 1)"
"7","park",-0.0428306927629179,"model 3","cvd","park","full","se_park",0.00868830592255023,0.159118870754791,-0.0598594594577824,-0.0258019260680534,0.993207999147859,0.990520447350785,0.995902843005062,"0.99 (0.99, 1)"
"8","ndvi_summer",-0.199344123559422,"model 3","cvd","ndvi_summer","full","se_ndvi",0.0108001342540344,0.274767457777641,-0.220511997725527,-0.178176249393317,0.946699761236569,0.941209507207495,0.952222040961383,"0.95 (0.94, 0.95)"
"9","occur_bs_1000m",-0.00797975407136638,"model 3","cvd","occur_bs_1000m","full","se_bs",0.0140816879889694,0.0322254268358965,-0.0355793553712767,0.0196198472285439,0.999742882079484,0.998854097135293,1.00063245786858,"1 (1, 1)"
"10","park",-0.0484306692314012,"model 4","cvd","park","full","se_park",0.00859019745491661,0.159118870754791,-0.0652671468631254,-0.031594191599677,0.99232338349154,0.989668505647419,0.994985383292486,"0.99 (0.99, 0.99)"
"11","ndvi_summer",-0.199590627699779,"model 4","cvd","ndvi_summer","full","se_ndvi",0.0106008979032103,0.274767457777641,-0.220368005793857,-0.178813249605701,0.946635642187364,0.941246746236645,0.952055391046401,"0.95 (0.94, 0.95)"
"12","occur_bs_1000m",-0.0265879112314083,"model 4","cvd","occur_bs_1000m","full","se_bs",0.0141051864217618,0.0322254268358965,-0.0542335686132848,0.00105774615046822,0.999143560166019,0.998253826440746,1.00003408690213,"1 (1, 1)"
"13","park",-0.0176155249961705,"model 5","cvd","park","full","se_park",0.00813735025109511,0.159118870754791,-0.0335644384179049,-0.00166661157443612,0.99720096218637,0.994673500833961,0.999734845807877,"1 (0.99, 1)"
"14","ndvi_summer",-0.129129417125543,"model 5","cvd","ndvi_summer","full","se_ndvi",0.0119777101233178,0.274767457777641,-0.152605297584507,-0.105653536666579,0.965141494788568,0.958935973963436,0.971387173131778,"0.97 (0.96, 0.97)"
"15","occur_bs_1000m",-0.0247083297985369,"model 5","cvd","occur_bs_1000m","full","se_bs",0.0143425865723313,0.0322254268358965,-0.052819282925454,0.00340262332838022,0.999204080437983,0.998299323853954,1.00010965700101,"1 (1, 1)"
"16","park",-0.16024954337826,"model 1","res","park","full","se_park",0.0142523563926497,0.159118870754791,-0.188183648602683,-0.132315438153837,0.974823620518524,0.970500297664912,0.979166202635158,"0.97 (0.97, 0.98)"
"17","ndvi_summer",0.0619681761122698,"model 1","res","ndvi_summer","full","se_ndvi",0.0150258568897862,0.274767457777641,0.0325180377714358,0.0914183144531038,1.01717262105487,1.00897493392505,1.02543691248973,"1.02 (1.01, 1.03)"
