"","Beta","model","out","strata","exposure","pop","se","iqr","Lower","Upper","beta_exp","Lower_exp","Upper_exp","beta_ci"
"1",-0.0176155249961705,"model 5","cvd","main","park","full",0.00813735025109511,0.159118870754791,-0.0335644384179049,-0.00166661157443612,0.99720096218637,0.994673500833961,0.999734845807877,"1 (0.99, 1)"
"2",-0.129129417125543,"model 5","cvd","main","ndvi_summer","full",0.0119777101233178,0.274767457777641,-0.152605297584507,-0.105653536666579,0.965141494788568,0.958935973963436,0.971387173131778,"0.97 (0.96, 0.97)"
"3",-0.0247083297985369,"model 5","cvd","main","occur_bs_1000m","full",0.0143425865723313,0.0322254268358965,-0.052819282925454,0.00340262332838022,0.999204080437983,0.998299323853954,1.00010965700101,"1 (1, 1)"
"4",-0.0326029598329646,"model 5","res","main","park","full",0.0120948096969762,0.159118870754791,-0.0563083512389038,-0.00889756842702545,0.994825686963946,0.991080297431391,0.998585230690452,"0.99 (0.99, 1)"
"5",-0.04701351464945,"model 5","res","main","ndvi_summer","full",0.0185823135582321,0.274767457777641,-0.0834341799730152,-0.0105928493258848,0.98716529256302,0.977335783629091,0.997093661323327,"0.99 (0.98, 1)"
"6",-0.108228957265802,"model 5","res","main","occur_bs_1000m","full",0.0214487715278652,0.0322254268358965,-0.150267776973046,-0.0661901375585581,0.996518350701908,0.995169262473296,0.997869267804377,"1 (1, 1)"
"7",-0.0549288499028515,"model 5","cvd","main","park","urban",0.0149967343412528,0.159118870754791,-0.084321909097422,-0.025535790708281,0.991297868087615,0.986672402548321,0.995945017553003,"0.99 (0.99, 1)"
"8",-0.0761539992130398,"model 5","cvd","main","ndvi_summer","urban",0.0185204549019975,0.274767457777641,-0.112453423798253,-0.0398545746278264,0.979292760543695,0.969573939724205,0.989109000935072,"0.98 (0.97, 0.99)"
"9",0.0362565024305895,"model 5","cvd","main","occur_bs_1000m","urban",0.0188795400196827,0.0322254268358965,-0.000746716052671209,0.0732597209138502,1.0011690640897,0.999975937045995,1.00236361471981,"1 (1, 1)"
"10",-0.0308030102474504,"model 5","res","main","park","urban",0.0210315518530725,0.159118870754791,-0.0720240944184591,0.0104180739235583,0.995110651761249,0.988605027575924,1.00165908692251,"1 (0.99, 1)"
"11",0.0640779245791317,"model 5","res","main","ndvi_summer","urban",0.0256699760025614,0.274767457777641,0.0137656961301039,0.114390153028159,1.01776243701694,1.00378952750109,1.03192985165064,"1.02 (1, 1.03)"
"12",0.0236077921917619,"model 5","res","main","occur_bs_1000m","urban",0.0254098738139818,0.0322254268358965,-0.0261946453353498,0.0734102297188736,1.00076106063983,0.999156222553815,1.00236847640611,"1 (1, 1)"
"13",-0.0338727248895664,"model 5","cvd","q_medhouseholdincome 1","park","full",0.0135475993049114,0.159118870754791,-0.0604255316041726,-0.00731991817496019,0.994624709122581,0.990431232457539,0.998835940928982,"0.99 (0.99, 1)"
"14",-0.0863671794134312,"model 5","cvd","q_medhouseholdincome 1","ndvi_summer","full",0.0183812929336451,0.274767457777641,-0.122393851552656,-0.0503405072742062,0.976548473044551,0.966929349780154,0.986263288442397,"0.98 (0.97, 0.99)"
"15",-0.0301983555068141,"model 5","cvd","q_medhouseholdincome 1","occur_bs_1000m","full",0.0270242260251924,0.0322254268358965,-0.0831648652262612,0.022768154212633,0.999027318465713,0.99732356477665,1.00073398272135,"1 (1, 1)"
"16",0.00423006936807675,"model 5","cvd","q_medhouseholdincome 2","park","full",0.012519187039863,0.159118870754791,-0.0203070863457753,0.0287672250819288,1.00067331043284,0.996773974192089,1.00458790070661,"1 (1, 1)"
"17",-0.173271284104792,"model 5","cvd","q_medhouseholdincome 2","ndvi_summer","full",0.0177935281159308,0.274767457777641,-0.208145958369917,-0.138396609839667,0.953506239440579,0.944412974202287,0.962687059037983,"0.95 (0.94, 0.96)"
